#{"t_start": 1592064354.734508, "env_id": "futbol-v1"}
r,l,t
-351.57442,300,1.51132
-387.589797,300,1.631426
378.434312,300,1.752957
2013.280689,300,2.281243
562.285252,300,2.382956
999.402269,300,2.488741
771.298229,300,2.634473
478.651142,300,2.734074
-924.126719,300,2.831499
435.824451,300,2.925543
830.169081,300,3.052278
-1161.187875,300,3.142907
607.380728,300,3.241345
1813.290075,300,3.380771
582.279702,300,3.483452
977.140123,300,3.588708
561.071099,300,3.692544
-759.470633,300,3.830122
637.165438,300,3.929354
2402.039903,300,4.038678
2089.347706,300,4.185536
852.423796,300,4.285588
-1377.915442,300,4.400034
728.003862,300,4.550918
203.282329,300,4.664131
1005.022684,300,4.770118
1241.284368,300,4.883995
688.088109,300,5.009544
689.020147,300,5.099632
1723.084058,300,5.192722
1306.262656,300,5.347046
-1647.764656,300,5.481799
1062.996892,300,5.631818
3041.494579,300,5.759842
1657.868403,300,5.929286
966.264947,300,6.044126
1970.601417,300,6.161032
693.486819,300,6.325344
743.846932,300,6.46332
608.184533,300,6.588912
-830.12196,300,6.770656
669.84632,300,6.895416
773.091912,300,7.017134
1116.928008,300,7.141046
611.642345,300,7.31336
1032.582073,300,7.449982
648.921883,300,7.59183
1531.539344,300,7.764705
697.348521,300,7.873114
946.05112,300,7.994002
760.286006,300,8.116229
2584.087088,300,8.291319
554.211798,300,8.420423
-859.311356,300,8.548966
2506.662459,300,8.743179
771.962806,300,8.871951
126.453313,300,8.984447
1783.056974,300,9.089467
737.745968,300,9.252437
393.666698,300,9.378562
528.975741,300,9.51547
445.689699,300,9.707456
973.170178,300,9.834628
134.823402,300,9.936762
1143.410855,300,10.100757
1047.886093,300,10.220593
486.777438,300,10.348074
552.93157,300,10.48371
690.826121,300,10.665124
-835.438188,300,10.785967
517.283216,300,10.885287
-930.136007,300,11.010024
-39.43876,300,11.099998
814.206289,300,11.191737
1147.021797,300,11.28301
838.426513,300,11.447064
-1031.018788,300,11.570668
727.167806,300,11.694259
533.373738,300,11.873748
907.940462,300,11.984969
932.252579,300,12.096168
745.044932,300,12.263832
575.956671,300,12.393338
-1179.419764,300,12.528882
623.017347,300,12.666607
1709.010885,300,12.846904
804.511084,300,12.962143
885.361177,300,13.05911
-692.030002,300,13.189499
-461.663547,300,13.286932
-1133.310695,300,13.410937
877.562667,300,13.545317
137.986391,300,13.717485
126.802666,300,13.838389
471.00614,300,13.962666
922.832916,300,14.106231
1224.796033,300,14.19902
1090.405988,300,14.293829
2322.515062,300,14.477619
-683.274694,300,14.616122
499.474919,300,14.751588
2538.13834,300,14.872283
3114.062883,300,15.032051
-1113.879163,300,15.152153
3279.964626,300,15.27894
868.983928,300,15.465422
390.90067,300,15.601122
-903.188433,300,15.729804
-1038.028425,300,15.856836
285.984596,300,16.023013
655.612986,300,16.143397
762.240368,300,16.261804
1867.638097,300,16.434098
796.261955,300,16.561267
1092.979102,300,16.687724
707.311099,300,16.80753
1248.784406,300,16.937179
-1185.850499,300,17.027479
2269.105723,300,17.162039
-1568.373819,300,17.33468
743.012325,300,17.454428
-963.036823,300,17.576593
833.98233,300,17.743354
641.004292,300,17.852105
2236.91341,300,17.944065
286.226331,300,18.034526
-869.249948,300,18.163465
808.072844,300,18.253753
1073.454609,300,18.36532
593.872756,300,18.52892
-1069.037951,300,18.652689
1045.788889,300,18.772659
684.848743,300,18.873928
-893.641738,300,19.003374
-1480.952363,300,19.094204
783.039665,300,19.183801
2398.940951,300,19.320815
840.783453,300,19.44368
464.553818,300,19.564845
740.875164,300,19.728044
-2719.910636,300,19.840838
974.459776,300,19.932263
649.374174,300,20.022188
-2006.842952,300,20.148478
1789.298683,300,20.240963
294.961526,300,20.347604
786.447503,300,20.512873
-1195.599746,300,20.634266
772.892552,300,20.753884
477.218939,300,20.858631
-1932.502946,300,20.984957
586.768581,300,21.074926
601.708225,300,21.166197
547.548263,300,21.298105
1025.511262,300,21.421185
777.402351,300,21.543003
2248.438721,300,21.663929
718.829961,300,21.824155
1909.613119,300,21.914544
617.840757,300,22.019099
637.900309,300,22.179771
-961.555204,300,22.298446
536.824372,300,22.433262
410.001342,300,22.612487
784.576332,300,22.744708
-968.521834,300,22.86589
434.608849,300,22.979904
-1679.807611,300,23.139597
777.969781,300,23.263317
2376.131179,300,23.395552
921.221286,300,23.575756
-379.934,300,23.701793
-726.177799,300,23.830833
2213.466591,300,23.9408
-699.258863,300,24.069402
848.174559,300,24.163772
-1057.021659,300,24.281748
409.80248,300,24.458159
575.170043,300,24.589347
1136.958833,300,24.720239
807.137491,300,24.8826
-1192.890559,300,24.978919
533.760787,300,25.070326
593.437651,300,25.170294
443.172921,300,25.318478
-675.849702,300,25.439207
631.063528,300,25.56905
726.548431,300,25.73385
695.248292,300,25.845653
-801.612617,300,25.937975
2580.019221,300,26.031394
525.03315,300,26.162956
417.52814,300,26.257505
-702.930116,300,26.374358
1130.221286,300,26.541224
131.82593,300,26.66137
-475.144435,300,26.79301
800.392071,300,26.961921
3464.920431,300,27.083795
2510.978937,300,27.225016
369.842751,300,27.345841
369.141637,300,27.515094
1824.129436,300,27.652203
-739.129822,300,27.824219
1055.562201,300,28.058719
755.266452,300,28.190365
394.717491,300,28.324561
438.278572,300,28.456196
1512.396016,300,28.645837
2332.580069,300,28.784352
542.814705,300,28.974712
-1357.760456,300,29.233283
-104.778621,300,29.365403
36.646527,300,29.496237
985.446748,300,29.611721
-1305.396911,300,29.768433
1001.489531,300,29.871473
578.076704,300,29.985991
706.647272,300,30.154746
547.144151,300,30.255773
676.89471,300,30.368752
2096.501867,300,30.52923
782.912481,300,30.719171
224.393984,300,30.839067
804.024627,300,30.941088
1136.901265,300,31.104185
798.644477,300,31.223105
-1245.200665,300,31.354614
1782.160809,300,31.535315
359.032424,300,31.672161
373.846269,300,31.807951
826.604429,300,31.92681
78.025798,300,32.090003
483.8045,300,32.207826
695.608587,300,32.337474
2055.135222,300,32.521881
2351.774731,300,32.656704
173.602743,300,32.783719
725.7208,300,32.925371
-544.670768,300,33.014657
488.913027,300,33.105326
788.978296,300,33.208759
1949.667347,300,33.377581
-2204.621055,300,33.524804
1667.86962,300,33.731584
731.76893,300,33.908962
-705.653744,300,34.017538
-1090.969353,300,34.130593
1031.593446,300,34.255874
457.316966,300,34.430322
-1021.653992,300,34.565792
-1464.739019,300,34.697799
2084.658662,300,34.851624
2722.695848,300,34.942881
551.005214,300,35.047934
1490.533932,300,35.179665
466.283311,300,35.35653
743.479242,300,35.496511
314.83996,300,35.631816
-161.654116,300,35.811958
826.724757,300,35.923633
578.691217,300,36.028656
2010.108616,300,36.163277
865.093876,300,36.254395
567.215199,300,36.369336
741.168957,300,36.497629
780.321269,300,36.670933
488.127311,300,36.813698
1076.575071,300,36.930821
2153.987716,300,37.061798
599.392253,300,37.153307
418.930708,300,37.252625
2165.417932,300,37.390173
625.242021,300,37.570677
716.861725,300,37.724334
627.510472,300,37.831096
395.353869,300,37.96725
1904.00098,300,38.060954
1880.454974,300,38.15819
591.914638,300,38.297039
1001.565188,300,38.414053
-897.788147,300,38.53423
725.615054,300,38.648005
-783.074284,300,38.814376
-353.109503,300,38.912194
-906.756183,300,39.033415
768.708744,300,39.20071
871.898899,300,39.327029
534.014085,300,39.469235
-991.132267,300,39.596444
910.846649,300,39.778479
735.398964,300,39.880715
813.665994,300,39.983844
1400.148262,300,40.129054
176.812433,300,40.226462
-389.723959,300,40.324662
1812.771163,300,40.482964
875.894538,300,40.600178
534.255639,300,40.720099
717.186242,300,40.852713
2558.578153,300,41.013177
-769.602086,300,41.120735
1479.875261,300,41.250488
-630.750161,300,41.433527
310.273607,300,41.560097
531.097805,300,41.687687
492.158759,300,41.816155
-585.49186,300,41.975856
-984.002315,300,42.097185
-142.619396,300,42.226536
-730.228999,300,42.39082
2465.533231,300,42.509981
2252.822243,300,42.634955
724.440573,300,42.774037
803.44467,300,42.949336
857.284136,300,43.067968
871.03659,300,43.190061
707.502407,300,43.363325
1922.01524,300,43.495953
861.417036,300,43.628502
457.478063,300,43.794747
2296.604966,300,43.890203
-259.269668,300,43.981415
898.546862,300,44.08882
280.576771,300,44.239277
761.734716,300,44.349953
1362.045653,300,44.483725
804.002169,300,44.647897
1074.359244,300,44.766752
671.173247,300,44.880473
838.884127,300,44.980121
223.572573,300,45.108324
707.010384,300,45.200392
909.082495,300,45.303012
-1045.53826,300,45.4824
1741.860863,300,45.6134
-912.915937,300,45.742962
641.084437,300,45.89158
1934.789339,300,45.988838
803.291605,300,46.080125
1232.192171,300,46.177637
648.89486,300,46.335491
-520.683867,300,46.458159
-1140.881558,300,46.584111
1069.505262,300,46.753309
-1191.881573,300,46.859178
-390.960641,300,46.952406
573.065124,300,47.047489
607.749043,300,47.178751
785.655336,300,47.269579
738.477312,300,47.389619
2162.792762,300,47.554036
1209.025083,300,47.677922
1195.848352,300,47.801536
693.34618,300,47.936608
1813.872445,300,48.028037
1627.664525,300,48.119619
584.234104,300,48.213593
-2881.12285,300,48.365291
-874.665475,300,48.48956
733.040412,300,48.615615
-967.579052,300,48.778639
611.209624,300,48.87859
313.222262,300,48.970174
-906.06419,300,49.077824
1256.94981,300,49.207685
12.97969,300,49.30298
651.964693,300,49.428765
991.429805,300,49.599079
-1941.482829,300,49.717829
-685.590987,300,49.838274
1072.802003,300,49.941688
493.61871,300,50.068711
898.000172,300,50.158634
2536.189001,300,50.255601
714.013147,300,50.420957
567.099585,300,50.545585
2463.245039,300,50.669852
486.565327,300,50.831401
686.592102,300,50.922343
-333.871136,300,51.014166
2199.206797,300,51.108265
863.263963,300,51.241399
517.380334,300,51.346158
415.216673,300,51.470361
-908.091116,300,51.644001
835.862906,300,51.763513
390.165094,300,51.877527
2086.721205,300,51.983159
845.150483,300,52.113003
194.442955,300,52.205656
3152.27568,300,52.309108
575.001163,300,52.481869
3176.281394,300,52.594402
948.749639,300,52.697024
402.245493,300,52.844539
478.589016,300,52.940529
651.975467,300,53.035519
357.015464,300,53.130564
761.008048,300,53.269163
1633.691692,300,53.384594
-1348.345023,300,53.516072
947.161941,300,53.683854
749.331363,300,53.802492
-1066.802077,300,53.899384
1846.691757,300,53.993387
3457.948684,300,54.122787
572.095136,300,54.213928
259.7769,300,54.315329
3350.827241,300,54.492471
395.478748,300,54.616713
392.016989,300,54.740331
2222.478181,300,54.851889
631.291913,300,54.980464
824.357336,300,55.072989
-429.390983,300,55.171408
2072.416629,300,55.318267
1018.988085,300,55.436643
573.047076,300,55.561201
1009.608113,300,55.724686
-948.784162,300,55.836955
-946.329869,300,55.927773
319.546964,300,56.023719
1012.835528,300,56.152996
-717.632179,300,56.244034
690.324073,300,56.353155
915.926298,300,56.522395
975.187311,300,56.640337
235.773343,300,56.766184
456.146524,300,56.870174
1761.93167,300,57.001262
2077.231423,300,57.092802
177.116473,300,57.187863
2413.784495,300,57.339304
1208.193272,300,57.465
2293.013579,300,57.588029
524.845334,300,57.753498
564.251962,300,57.859683
-2637.656964,300,57.951106
866.143676,300,58.044723
783.429344,300,58.174399
-998.714427,300,58.264999
805.946764,300,58.381753
506.63632,300,58.555964
1132.423565,300,58.69141
643.288985,300,58.812749
580.593358,300,58.909929
1657.488316,300,59.041475
892.743048,300,59.132032
878.077344,300,59.224654
341.568803,300,59.376169
2115.942815,300,59.495086
459.348347,300,59.622575
937.310825,300,59.786981
948.576164,300,59.885196
642.03594,300,59.975143
628.346016,300,60.068934
1522.452425,300,60.200417
953.358484,300,60.296414
727.472986,300,60.419781
991.620679,300,60.587799
-872.196265,300,60.706265
-871.303322,300,60.826792
-572.576916,300,60.934012
-1346.957672,300,61.068101
654.805138,300,61.195027
918.068699,300,61.318227
681.873715,300,61.507583
798.837118,300,61.647568
587.749919,300,61.792701
1430.875898,300,61.917154
-1074.457799,300,62.087725
670.489834,300,62.214582
3182.488687,300,62.336637
-1066.562656,300,62.525913
433.883207,300,62.655115
1790.189673,300,62.82212
2392.208916,300,63.003305
543.526259,300,63.139745
545.63897,300,63.274053
865.897776,300,63.392262
698.272409,300,63.679268
701.541137,300,63.826164
395.43786,300,63.941787
2068.471115,300,64.085393
588.266155,300,64.187642
-1073.272686,300,64.309444
1046.546056,300,64.435288
-756.182955,300,64.602118
3396.668236,300,64.734461
730.29091,300,64.875401
2043.970545,300,65.038715
-694.324785,300,65.129698
-660.816378,300,65.241748
865.568924,300,65.418374
2571.033963,300,65.542717
-45.909141,300,65.680029
-728.582927,300,65.815624
2047.840825,300,65.963254
76.976268,300,66.053181
2198.665362,300,66.152629
-950.022238,300,66.331002
-908.276486,300,66.464273
588.207386,300,66.59218
576.72794,300,66.734506
-630.104409,300,66.910747
224.924674,300,67.030814
-878.601056,300,67.153754
703.819027,300,67.313927
786.820653,300,67.436744
908.935305,300,67.563087
1886.674385,300,67.685608
-768.249157,300,67.84852
354.454645,300,67.940484
617.919481,300,68.057608
-1191.231153,300,68.198572
1134.506265,300,68.292711
1610.682897,300,68.414104
1011.940697,300,68.58421
-1403.195259,300,68.712798
661.489016,300,68.846232
1982.366197,300,68.946066
979.631213,300,69.077961
2134.352086,300,69.203597
1826.765293,300,69.337994
756.282194,300,69.520013
2108.775733,300,69.652119
862.370234,300,69.789011
867.627799,300,69.89176
